GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V;30 t/m 34 jaar;MAASTRICHT;3052;2967.63;3990746.54;405712.79;949528.92;167874.72;143011.68;138529.51;76777.22;17325.38;43221.49;13560.22;7145.52;40001.48;603475.14;401137.67;49248.52;203456.67;13.50;0.00;35332.69
V;30 t/m 34 jaar;MARUM;228;226.92;234526.63;17490.70;27519.96;13067.86;10762.18;11340.47;10009.47;429.36;516.01;780.84;1436.64;2457.98;73139.29;44796.41;1054.80;215.92;71.55;0.00;129.27
V;30 t/m 34 jaar;MEDEMBLIK;1055;1042.71;1191236.85;96948.53;148080.32;58802.59;43821.13;42084.83;39962.12;3158.05;3074.76;4957.87;779.60;11583.64;302710.70;223209.23;22824.50;3792.55;27.45;0.00;7307.46
V;30 t/m 34 jaar;MEERSSEN;360;357.02;473967.18;41050.96;66002.53;20339.92;16696.46;15989.59;14592.94;2671.82;11109.01;1525.88;669.60;6058.65;99159.97;65791.72;5744.70;13147.71;4.95;0.00;2717.65
V;30 t/m 34 jaar;MENAMERADIEL;329;327.91;460880.35;43823.13;30220.98;18867.57;11328.90;9434.87;24592.65;1483.72;906.75;928.30;0.00;4469.73;113800.06;65808.69;10153.86;4100.55;428.40;0.00;270.30
V;30 t/m 34 jaar;MENTERWOLDE;277;274.96;406461.56;38394.17;82190.77;15714.60;13353.72;14473.03;8840.08;1838.94;1183.28;1266.61;1668.45;7401.53;59345.45;44822.86;6317.12;298.80;7.20;0.00;707.31
V;30 t/m 34 jaar;MEPPEL;991;987.43;1285375.00;111905.94;371716.26;56818.29;45177.67;58440.84;44903.64;8052.24;372.05;8141.64;14181.57;20921.63;300410.67;229347.84;18354.66;1974.03;80.10;0.00;1405.17
V;30 t/m 34 jaar;MIDDELBURG;1324;1316.56;1457924.47;156739.95;414300.92;75364.90;54890.86;64602.56;97123.32;4406.60;21626.28;6794.10;13252.42;19473.21;298330.07;263298.36;42192.70;66484.82;1.80;0.00;2158.37
V;30 t/m 34 jaar;MIDDEN-DELFLAND;473;467.50;556540.44;39791.10;53112.96;27091.51;18096.89;18957.38;11024.06;2426.36;6598.70;2063.29;0.00;4529.11;148958.35;90927.19;12862.31;1589.41;4.95;0.00;692.59
V;30 t/m 34 jaar;MIDDEN-DRENTHE;713;709.90;794627.17;75115.65;507397.41;41085.20;28145.27;42728.46;28388.28;5196.66;7586.45;2104.73;1008.84;19110.91;196266.79;117613.28;15675.14;5467.54;46.35;0.00;1133.70
V;30 t/m 34 jaar;MILL EN SINT HUBERT;206;205.89;273311.63;53684.25;51749.36;11108.09;10160.00;10600.79;10709.17;478.82;365.30;1475.89;820.98;3785.40;61532.42;50376.33;6143.19;62.95;1.80;0.00;62.85
V;30 t/m 34 jaar;MOERDIJK;941;925.99;1135688.15;134685.52;133334.25;50760.03;37678.13;33806.61;24196.11;10074.44;6056.65;3735.65;9816.86;8730.53;216238.68;155497.96;20493.93;7558.78;5.40;0.00;1915.49
V;30 t/m 34 jaar;MOLENWAARD;727;723.76;757993.97;98131.85;88257.75;41959.92;27844.90;24208.16;38409.91;1408.08;3330.70;1652.94;5484.78;8612.11;198035.45;118182.82;8807.09;9233.39;7.20;0.00;815.66
V;30 t/m 34 jaar;MONTFERLAND;719;712.29;925915.45;92613.33;197051.81;41343.10;29486.04;38304.89;33175.89;5809.64;10302.81;4134.66;322.50;9618.44;170202.20;120864.49;15306.36;8969.72;8.55;0.00;7744.63
V;30 t/m 34 jaar;MONTFOORT;328;327.43;352468.11;37022.63;44998.74;18846.90;12647.45;21620.24;9890.62;0.00;1306.81;384.05;0.00;4160.59;110597.72;73664.05;5477.83;645.64;6.75;0.00;395.57
V;30 t/m 34 jaar;MOOK EN MIDDELAAR;94;93.92;72338.60;7017.55;12508.08;5478.75;4695.48;4301.44;1010.76;6776.54;0.00;179.52;0.00;1384.35;28615.56;17762.28;1981.94;3958.52;1.80;0.00;841.06
